message_id,message,Constructiveness,Justification,Justification_internal,Justification_external,Relevance,Reciprocity,Empathy_Respect,Uncivil_abuse
1,@USER- #GrahamCassidy will devastate #MilitaryFamilies w/ kids like Justin who need #Medicaid. Pls vote no! https://t.co/WC3m7tXcqV https://t.co/C2i31EwJnE,0,1,0,0,1,1,1,1
2,@USER- The US people &amp; Minnesotans must see the Senate Ethics investigation committee hearing: the womens' allegations and Senator Al Franken's responses. Dems have Ethics but lose 1 FINE Senator! Creepy Reps support 1 more sex assaulter to Senate. Ex,0,1,0,0,1,1,1,1
4,"=@USER - ""we all want the same thing when you look at the big picture""",0,1,0,0,1,NA,1,NA
5,"@USER - A poison in our island - Rising seas caused by climate change are seeping inside a United States nuclear waste dump, contamination, cover-up.   https://t.co/GOgPCe19v4  #enewetak #potus #gop #democrats #realDonaldTrump HR632/S283. #RepLeeZeldin",0,1,0,0,1,0,NA,0
6,=@USER - hypocrite. You are A porn surfer and claim to be holier than thou.,0,0,0,0,NA,0,0,NA
7,@USER - Know what would be good? @USER doing his job to stop this madness. #NotSoGoodlatte,1,1,0,0,1,NA,1,NA
8,@USER - making sure felons can only contribute to society through gunfire. https://t.co/65jyhC6atk,1,1,0,0,1,1,1,0
9,@USER - more evidence to support your letter @USER come and deny it as usual. @USER @USER @USER @USER https://t.co/h0icJGBwdR,0,1,0,0,NA,NA,NA,0
11,@USER - Shut Up Traitor America is laughing at you fool! https://t.co/SXl6P2UCJU,0,1,0,0,1,NA,1,1
12,@USER - visiting your city...stepping around homeless people &amp; homeless vets asking for money...on every corner. what.the.hell?,0,1,1,0,NA,NA,0,0
13,=@USER - why are You against every conservative plan? So sick of you. Just flip to Democrat....A-hole.,0,0,0,0,1,NA,1,NA
14,@USER - why don't you retweet this? Oh... wait... you're a partisan hack. That's right. https://t.co/dNsbJbbIS9,0,1,0,0,1,NA,NA,NA
15,"@USER -Is the $15/hour for all of  UR ILLEGAL IMMIGRANT FRIENDS! U NEVER DO ANYTHING FOR HOMELESS, Unemployed or struggling Hard working Americans or America<U+FFFD>s BLACK YOUTH WHO HAVE BEEN IGNORED &amp; LEFT BEHIND BY THE DEMOCRATS THE LAST 8 years!!",0,1,0,0,1,1,1,NA
16,@USER     Lease watch for a simple addition to daily regimen. U have nothing to lose.  We need U!    https://t.co/xFNPmEieQf,0,1,0,0,1,NA,1,NA
17,@USER    Merry Christmas to you and your family !,0,1,0,0,1,NA,1,NA
18,"=@USER    You (supposedly) work for US, not The other way around.  You are supposed to act in our interests not The RINOs like you.",0,1,0,0,1,NA,NA,NA
19,"@USER   ""Crazy/Stupid Republican of the Day"" = Ky @USER         https://t.co/qEwvLytbjP",0,1,0,0,1,NA,1,0
20,@USER   Before this goes any further I want NAMES of pols who PAID OFF accusers w taxpayer money! #IMWITHAL,0,1,1,0,1,1,1,NA
21,@USER   GOP fears damage from Trump<U+FFFD>s move on DACA GOP better fear damage from no tax reform and lying for 7 years and repeal,0,1,0,0,1,0,0,0
22,@USER   isn't about party and no about trump. It's about the people.  U are my hero do not let lame offer from pres change ur vote,0,1,0,0,1,NA,1,NA
23,@USER   Just saw you on Mornings with Maria. Fight for those state and local tax deductions. Don't let this bill take any deductions away from us. That is stealing from the citizens who pay taxes. Thank you!,1,1,0,0,1,NA,1,NA
24,"@USER   Rep Pearce, do you agree?  Washington Post: Breaking News, World, US, DC News &amp; Analysis -  https://t.co/52oBISatkm",0,1,0,0,1,NA,1,0
25,@USER   Senator why can't we just give the entire nation the current federal employees health plan. And all pay their own premium,0,1,0,0,1,NA,1,NA
26,@USER   Trump ran on doing what he did he/Repub in congress won. GOP tone deaf to what the people said in 2016 800K vs 62M,0,0,0,0,1,1,1,1
27,@USER   We Still TrusTED !,0,1,0,0,1,NA,1,NA
28,@USER   when did you know that Dem Senators @USER  and @USER  beat their wives ?? YOU need to resign for not firing these men @USER  fired Porter when he knew,0,0,0,0,1,NA,NA,0
29,"=@USER   when it comes to making sure your constituents have affordable healthcare, You sir are A disgrace.",0,1,0,0,1,NA,1,NA
30,@USER  #HandsOff   People with disabilities will be hurt more than those without by these bills.  Vote them down. https://t.co/Fjsbld9Yks,0,1,0,0,1,NA,1,NA
31,@USER  #ReleaseTheMemo,0,1,0,0,1,1,1,0
32,@USER  #ReleaseTheTranscripts https://t.co/H4up40AiyL,0,1,0,1,1,0,1,0
34,@USER  @USER  @USER @USER https://t.co/BSvr75bVU8,0,0,0,0,0,0,NA,0
39,@USER  @USER @USER would u be allowed to immigrate to USA? https://t.co/bynmeQCwJI,0,1,0,0,1,1,1,NA
41,"@USER  Becuz of U we're Stuck with Obamacare. I hope the Bribe U got from G Soros is worth Going to Hell, cuz Judgment is coming!",0,0,0,0,1,0,0,NA
43,@USER  doesn't @USER brother work for the DOJ????? Corruption!!!!!! https://t.co/T1hESf8HFi,0,0,0,0,1,NA,0,0
44,"@USER  For the love of God, vote this down! https://t.co/ZLNzh9bNY7",0,1,0,0,1,0,1,0
45,"@USER  hits @USER  over immigration program in wake of terror attack..."" https://t.co/bQAbbeEoHU",0,1,0,0,1,NA,NA,NA
47,@USER  https://t.co/BjIGcEJVMv,0,0,0,0,1,NA,1,0
48,@USER  https://t.co/lR5QBjE3r5,0,0,0,0,NA,NA,NA,0
49,@USER  I hope whatever they have given you is worth your soul. Because that is what you have sold. You know and we know you know that this tax scam does not help and if fact hurts the vast majority of the people of Maine. You were elected to help them. #k,0,1,0,0,1,0,0,0
50,"=@USER  it is going to take years to undo, rebuild, make amends for The sheer volume of horrible things You have sat silent through.",0,1,0,0,1,NA,1,NA
51,@USER  Keep fighting  for us congressman! Thank you. @USER you are a racist misogynist liar. @USER @USER #Resistance https://t.co/4GBLDc7ZfI,0,1,0,0,1,NA,1,1
53,@USER  Merry Christmas to you and yours.<f0><U+009F><U+008C><U+00B2>,0,0,0,0,NA,NA,1,0
54,=@USER  My vote will be for support of Trumps agenda.  congress is failing again.  I think You need to be replaced as leader.,0,1,1,0,1,NA,1,NA
55,"@USER  POTUS admits in press conf w/ Finland pres he pardoned ""Sheriff Joe"" during a time when TV ratings high d/t hurricane!!!",0,1,0,0,1,NA,1,NA
56,@USER  quite sad actually seeing a lot of great work being undermined. @USER https://t.co/GCOI175K0x,0,0,0,0,NA,0,NA,0
57,"@USER  Subpoena away! Personally I hope that POS perjures himself before the committee, being he thinks he's smarter than you. <f0><U+009F><U+0098><U+0089> https://t.co/AnkgzYPS1v",0,0,0,0,1,0,0,NA
58,@USER  SUPPORT President Trump! CONFIRM nominations! REPEAL &amp; REPLACE Obamacare. STOP obstructing!,0,1,0,0,1,0,NA,0
59,=@USER  Watching Sam B. You are My hero.,0,1,0,0,0,0,1,0
60,=@USER  well Congressman when do You start to act on all your big talk?,1,1,0,0,1,1,1,NA
61,@USER  why don't you donate your salary for the next 4 years like President Trump is? https://t.co/DFMEqum2eX,0,1,0,0,1,NA,NA,0
62,"=@USER  You and others like You are terrified of President Trump Because it is no longer business as usual. We gained many things in The election, two of them, A great President, and also years of corruption being exposed. Just scurry away from The light.",0,1,0,0,1,NA,1,NA
63,=@USER  You are A disgrace to this country. I  hope Mueller goes after You and You are stripped of power and end Up out of work.. You are  The worst this country offers as A politician and human being.,1,1,0,0,1,1,1,NA
64,@USER  You are a shameful representative of WV https://t.co/oDeukLT0bY,0,1,0,0,NA,0,0,NA
65,@USER  You are my Senator. I support Pres agenda. You need to also or please get out of the way. #TexasStrong,0,0,0,0,1,0,1,0
66,@USER  You have embarrassed the state of Wisconsin once more!  You went crazy excited with the thought of an FBI secret society only to find out a few days later it was all a joke!  It made you look ridiculous!  I can't wait until your term is over!,0,1,0,0,1,NA,1,NA
92,"@USER ""And I am going to politicize this so I can take away the guns of law-abiding citizens. Yeah..I know the criminals will still have them.""",0,0,0,0,1,0,0,0
93,"@USER ""And when you pray, do not be like the hypocrites, for they love to pray standing in the synagogues and on the street corners to be seen by others. Truly I tell you, they have received their reward in full.<U+FFFD>",0,1,0,0,1,NA,1,NA
94,"@USER ""Best treatment"" eh? You hypocrit. No Obamacare for you - you're too special for that. No VA care either. SOB",0,0,0,0,1,NA,0,NA
95,"@USER ""But, as far as I can tell, it's wrong to call what Kelly said racist."" So no. But @USER is racist to claim she's a victim",0,1,0,1,1,1,1,NA
97,"@USER ""Free and Open Internet"" is nothing more than a code word for corporate land-grabbing in the form of internet control and removal of open access and toll-less consumer routing. You are a shill, and you have no understanding of that which you speak.",0,1,0,0,1,0,NA,0
98,"@USER ""Government regulations"" that keep it ""free.""  You've been hanging out with Crazy old @USER haven't you?",0,0,0,0,1,0,0,0
99,"@USER ""It's easy to be bold when you're not coming back,"" Meadows said.  Did you just call yourself a pussy?  #Resist @USER",0,1,0,0,1,NA,NA,NA
100,"@USER ""Our future is being mortgaged away!"" #FutureForum  #EndStudentDebt",0,0,0,0,NA,NA,1,NA
101,"@USER ""Paranoid, racist, apocalyptic ramblings of Charles Manson are the DNA of the reactionary Alt Right."" YEAH!! Forget about the 8 years of Obama conspiracy theories? Glenn Beck? Fox ""news?"" Ever hear Jade Helm 15 (my favorite)? Obama coup. You forgot",1,1,0,0,1,1,1,NA
104,"@USER ""Would have preferred"" means that you are okay with this but that would have been better. Is this really what you mean? Trump got to you?",0,1,0,0,1,1,NA,NA
105,"@USER #2 @USER  FYI, A poll by WFAA, ABC Ch 8 in DFW, on 2-12-2018, showed that 82% in the viewing area oppose any new toll roads. In Texas, scandals have formed around foreign ownership &amp; investment in toll roads for years. And they are very costly,",0,1,0,0,1,NA,1,0
106,@USER #2. giving people in crap red states several times the electoral votes per person than YOUR home state. You lying piece of,0,1,0,0,1,NA,0,NA
108,@USER #25thAmendmentNow before he gets us all killed! Lives at risk b/c he doesn't like being so low in the polls and you're quoting the Bible?,0,0,0,0,1,0,0,0
109,@USER #AlFranken should step down when #ThePresident and #RoyMoore do. The #Democratic party needs to get their act together otherwise we will be looking at many more years of <f0><U+009F><U+0090><U+008E><f0><U+009F><U+0092><U+00A9>politics.,0,1,0,0,1,0,1,0
